A01	Pain general/multiple sites	Specialty
A02	Chills	General Practice
A03	Fever	General Practice
A04	Weakness/tiredness general	General Practice
A05	Feeling ill	General Practice
A06	Fainting/syncope	General Practice
A07	Coma	General Practice
A08	Swelling	General Practice
A09	Sweating problem	General Practice
A10	Bleeding/haemorrhage NOS	General Practice
A11	Chest pain NOS	General Practice
A13	Concern/fear medical treatment	General Practice
A16	Irritable infant	General Practice
A18	Concern about appearance	General Practice
A20	Euthanasia request/discussion	General Practice
A21	Risk factor for malignancy	General Practice
A23	Risk factor NOS	General Practice
A25	Fear of death/dying	General Practice
A26	Fear of cancer, NOS	General Practice
A27	Fear of other disease NOS	General Practice
A28	Limited function/disability NOS	General Practice
A29	General symptom/complaint other	General Practice
A70	Tuberculosis	General Practice
A71	Measles	General Practice
A72	Chickenpox	General Practice
A73	Malaria	General Practice
A74	Rubella	General Practice
A75	Infectious mononucleosis	General Practice
A76	Viral exanthem other	General Practice
A77	Viral disease other/NOS	General Practice
A78	Infectious disease other/NOS	General Practice
A79	Malignancy NOS	General Practice
A80	Trauma/injury NOS	General Practice
A81	Multiple trauma/injuries	General Practice
A82	Secondary effect of trauma	General Practice
A84	Poisoning by medical agent	General Practice
A85	Adverse effect medical agent	General Practice
A86	Toxic effect non-medicinal substance	General Practice
A87	Complication of medical treatment	General Practice
A88	Adverse effect physical factor	General Practice
A89	Effect prosthetic device	General Practice
A90	Congenital anomaly NOS/multiple	General Practice
A91	Abnormal result investigation NOS	General Practice
A92	Allergy/allergic reaction NOS	General Practice
A93	Premature newborn	General Practice
A94	Perinatal morbidity other	General Practice
A95	Perinatal mortality	General Practice
A96	Death	General Practice
A97	No disease	General Practice
A98	Health maint/preventive medicine	General Practice
A99	Disease/condition unspecnature/site	General Practice
B02	Lymph gland(s) enlarged/painful	General Practice
B04	Blood symptom/complaint	General Practice
B25	Fear of AIDS/HIV	General Practice
B26	Fear cancer blood/lymph	General Practice
B27	Fear blood/lymph disease other	General Practice
B28	Limited function/disability (B)	General Practice
B29	Lymph/immune mech sympt/complt other	General Practice
B70	Lymphadenitis acute	General Practice
B71	Lymphadenitis chronic/non-specific	General Practice
B72	Hodgkin Lymphoma	General Practice
B73	Leukaemia	General Practice
B74	Malignant neoplasm blood other	General Practice
B75	Neoplasm blood benign/unspecified	General Practice
B76	Ruptured spleen traumatic	General Practice
B77	Injury blood/lymph/spleen other	General Practice
B78	Hereditary haemolytic anaemia	General Practice
B79	Congen anomaly blood/lymph other	General Practice
B80	Iron deficiency anaemia	General Practice
B81	Anaemia vit B12/folate deficiency	General Practice
B82	Anaemia other/unspecified	General Practice
B83	Purpura/coagulation defect	General Practice
B84	Unexplained abnormal white cells	General Practice
B87	Splenomegaly	General Practice
B90	HIV-infection/AIDS	General Practice
B99	Blood/lymph/spleen disease other	General Practice
D01	Abdominal pain/cramps general	General Practice
D02	Abdominal pain epigastric	General Practice
D03	Heartburn	General Practice
D04	Rectal/anal pain	General Practice
D05	Perianal itching	General Practice
D06	Abdominal pain localized other	General Practice
