PUBLIC	STATE	NAME	PROVIDER_NO	STREET_ADDRESS	SUBURB	POSTCODE																																												
PRIVATE	WA	ABBOTSFORD PRIVATE HOSPITAL	0075130L	61-69 CAMBRIDGE STREET	WEST LEEDERVILLE	6007																																												
PRIVATE	ACT	ACT ENDOSCOPY	0097040K	2/70 KENT STREET	DEAKIN	2600																																												
PRIVATE	SA	ADELAIDE AMBULATORY DAY SURGERY	0067240H	"SUITES 10A, 50 HUTT STREET"	ADELAIDE	5000																																												
PRIVATE	SA	ADELAIDE CITY EAST DAY HOSPITAL	0067180B	309 WAKEFIELD ST	ADELAIDE	5000																																												
PRIVATE	SA	ADELAIDE DAY SURGERY	0658181F	18 NORTH TERRACE	ADELAIDE	5000																																												
PRIVATE	SA	ADELAIDE SURGICENTRE	0999771L	89 KING WILLIAM ST	KENT TOWN	5067																																												
PUBLIC	NSW	ADOLESCENT AND YOUNG ADULT HOSPICE  (AYAH)	0012920T	150 DARLEY ROAD 	MANLY	2095																																												
PUBLIC	VIC	ADULT PREVENTION & RECOVERY CARE (A-PARC)	0032140K	1 BEACH STREET	FRANKSTON	3199																																												
PRIVATE	SA	ADVANCED ORAL AND MAXILLOFACIAL SURGERY	0067310J	238 ANGAS STREET 	ADELAIDE	5000																																												
PRIVATE	NSW	AESTHETIC DAY SURGERY	0896271A	14 KENSINGTON STREET	KOGARAH	2217																																												
PRIVATE	WA	ALBANY COMMUNITY HOSPICE	0075520Y	30 WARDEN AVE	ALBANY	6330																																												
PRIVATE	WA	ALBANY DAY HOSPITAL	0077290B	6 LUBICH WAY	MIRA MAR	6330																																												
PUBLIC	WA	ALBANY HOSPITAL	0070050J	WARDEN AVENUE	ALBANY	6330																																												
PRIVATE	NSW	ALBURY DAY SURGERY	0657791J	4 BAKER COURT	ALBURY	2640																																												
PUBLIC	NSW	ALBURY WODONGA HEALTH - ALBURY CAMPUS	0010560W	201 BORELLA ROAD	ALBURY	2640																																												
PUBLIC	VIC	ALBURY WODONGA HEALTH - WODONGA CAMPUS	0031390A	69 VERMONT STREET	WODONGA	3690																																												
PRIVATE	NSW	ALBURY WODONGA PRIVATE HOSPITAL	0016960X	1125 PEMBERTON STREET	ALBURY	2640																																												
PUBLIC	TAS	ALCOHOL AND DRUG SERVICES	0080470W	"CARRUTHERS BUILDING, ST JOHNS AVENUE"	NEWTOWN 	7008																																												
PUBLIC	VIC	ALEXANDRA DISTRICT HOSPITAL	0030010T	20 COOPER STREET	ALEXANDRA	3714																																												
PRIVATE	NSW	ALEXANDRIA SPECIALIST DAY HOSPITAL	0027000Y	15 BOWDEN STREET	ALEXANDRIA	2015																																												
PUBLIC	NT	ALICE SPRINGS HOSPITAL	0095020J	6 GAP ROAD	ALICE SPRINGS	0870																																												
PRIVATE	NSW	ALLOWAH PRESBYTERIAN CHILDREN'S HOSPITAL	0015030B	8 PERRY STREET	DUNDAS	2117																																												
PUBLIC	QLD	ALPHA HOSPITAL	0050010F	1 BURNS  STREET	ALPHA	4724																																												
PUBLIC	VIC	ALPINE HEALTH (BRIGHT)	0031740W	36-42 COBDEN STREET	BRIGHT	3741																																												
PUBLIC	VIC	ALPINE HEALTH (MOUNT BEAUTY)	0031190J	10 HOLLONDS STREET	MT BEAUTY	3699																																												
PUBLIC	VIC	ALPINE HEALTH (MYRTLEFORD)	0030790T	30 O'DONNELL AVENUE	MYRTLEFORD	3736																																												
PRIVATE	NSW	ALWYN REHABILITATION HOSPITAL	0015040A	1 EMU STREET	STRATHFIELD	2135																																												
PRIVATE	VIC	ANAM CARA HOUSE GEELONG	0037080K	"NICOL DRIVE SOUTH, DEAKIN UNIVERSITY"	WAURN PONDS	3216																																												
PUBLIC	SA	ANGASTON HOSPITAL	0060050B	29 NORTH STREET	ANGASTON	5353																																												
PUBLIC	VIC	ANGLISS HOSPITAL	0031330L	ALBERT STREET	UPPER FERNTREE GULLY	3156																																												
PRIVATE	NSW	ARCADIA PITTWATER PRIVATE HOSPITAL	0017560F	4 DAYDREAM STREET	WARRIEWOOD	2102																																												
PRIVATE	SA	ARCHER ST DAY HOSPITAL	0067290X	163 ARCHER STREET	NORTH ADELAIDE	5006																																												
PRIVATE	SA	ARDROSSAN COMMUNITY HOSPITAL INC	0065390J	37 FIFTH STREET	ARDROSSAN	5571																																												
PUBLIC	WA	ARMADALE KELMSCOTT MEMORIAL HOSPITAL	0070040K	3056 ALBANY HIGHWAY	ARMADALE	6112																																												
PRIVATE	NSW	ARMIDALE PRIVATE HOSPITAL	0017190T	RUSDEN STREET	ARMIDALE	2350																																												
PUBLIC	NSW	ARMIDALE RURAL REFERRAL HOSPITAL	0010570T	226 RUSDEN STREET	ARMIDALE	2350																																												
PRIVATE	VIC	ARROW HEALTH	0037010B	8 CARLISLE STREET	WOODEND	3442																																												
PRIVATE	NSW	ARTARMON DAY SURGERY	0027520X	"SUITE 4, 448 PACIFIC HIGHWAY"	ARTARMON	2064																																												
PRIVATE	SA	ASHFORD HOSPITAL	0065020L	55 ANZAC HIGHWAY	ASHFORD	5035																																												
PUBLIC	QLD	ATHERTON HOSPITAL	0050030A	CNR LOUISE & JACK STREETS	ATHERTON	4883																																												
PRIVATE	WA	ATTADALE REHABILITATION HOSPITAL	0075360Y	21 HISLOP ROAD	ATTADALE	6156																																												
PUBLIC	NSW	AUBURN HOSPITAL & COMMUNITY HEALTH SERVICES	0010020A	18-20 HARGRAVE ROAD	AUBURN	2144																																												
PUBLIC	QLD	AUGATHELLA HOSPITAL	0050040Y	CAVANAGH STREET	AUGATHELLA	4477																																												
PUBLIC	WA	AUGUSTA HOSPITAL	0071110F	DONOVAN STREET	AUGUSTA	6290																																												
PUBLIC	VIC	AUSTIN HEALTH - AUSTIN HOSPITAL	0030060F	145 STUDLEY ROAD	HEIDELBERG	3084																																												
PUBLIC	VIC	AUSTIN HEALTH - HEIDELBERG REPATRIATION HOSPITAL	0031620B	300 WATERDALE ROAD	HEIDELBERG WEST	3081																																												
PRIVATE	QLD	AVIVE CLINIC BRISBANE	0056290Y	16 BRYDEN STREET 	WINDSOR	4030																																												
PRIVATE	VIC	AVIVE CLINIC MORNINGTON PENINSULA 	0037110Y	1 ST JOHNS LANE 	MOUNT ELIZA 	3930																																												
PUBLIC	QLD	AYR HOSPITAL	0050050X	2 CHIPPENDALE STREET	AYR	4807																																												
PRIVATE	QLD	B.BRAUN MORAYFIELD RENAL CARE CENTRE	0056220L	19-31 DICKSON ROAD 	MORAYFIELD 	4506																																												
PUBLIC	QLD	BABINDA HOSPITAL	0050060W	128 MUNRO STREET	BABINDA	4861																																												
PUBLIC	VIC	BAIRNSDALE REGIONAL HEALTH SERVICE	0030080A	122 DAY STREET	BAIRNSDALE	3875																																												
PUBLIC	SA	BALAKLAVA HOSPITAL	0060060A	16 WAR MEMORIAL DRIVE	BALAKLAVA	5461																																												
PRIVATE	VIC	BALLARAT DAY PROCEDURE CENTRE	0043620T	1119-1123 HOWITT STREET	WENDOUREE	3355																																												
PUBLIC	VIC	BALLARAT HEALTH SERVICES - QUEEN ELIZABETH CENTRE	0034220W	102 ASCOT STREET	BALLARAT	3350																																												
PUBLIC	VIC	BALLARAT HEALTH SERVICES (BASE HOSPITAL)	0030090Y	1 DUMMOND STREET NORTH	BALLARAT CENTRAL	3350																																												
PRIVATE	VIC	BALLARAT SURGICENTRE	0044080X	5-9 WOOD STREET	SOLDIERS HILL	3350																																												
PRIVATE	NSW	BALLINA DAY SURGERY	0027050K	"SUITE 6, 46 TAMAR STREET"	BALLINA	2478																																												
PUBLIC	NSW	BALLINA DISTRICT HOSPITAL	0010580L	78-92 CHERRY STREET	BALLINA	2478																																												
PUBLIC	NSW	BALMAIN HOSPITAL	0010030Y	29 BOOTH STREET	BALMAIN	2041																																												
PUBLIC	NSW	BALRANALD MULTI PURPOSE SERVICE	0010590K	41-43 COURT STREET	BALRANALD	2715																																												
PUBLIC	QLD	BAMAGA HOSPITAL	0051460T	238 SAGAUKAZ STREET	BAMAGA	4876																																												
PUBLIC	NSW	BANKSTOWN-LIDCOMBE HOSPITAL	0010040X	68 ELDRIDGE ROAD	BANKSTOWN	2200																																												
PUBLIC	NSW	BARADINE MULTI PURPOSE SERVICE	0011030L	5-9 MACQUARIE STREET	BARADINE	2396																																												
PUBLIC	QLD	BARALABA HOSPITAL	0050070T	STOPFORD STREET	BARALABA	4702																																												
PUBLIC	QLD	BARCALDINE HOSPITAL	0050080L	OAK STREET	BARCALDINE	4725																																												
PUBLIC	NSW	BARHAM KOONDROOK SOLDIERS MEMORIAL HOSPITAL	0010610A	70 PUNT ROAD	BARHAM	2732																																												
PRIVATE	NSW	BARINGA PRIVATE HOSPITAL	0016920F	31 MACKAYS ROAD	COFFS HARBOUR	2450																																												
PUBLIC	SA	BARMERA HEALTH SERVICES	0060670X	HAWDON STREET	BARMERA	5345																																												
